sequence_id,status,subject_id,seq_name,num_frames,object_id,extri_path,sensor_data_dir,label_dir
p001__banana_g2__T01,ok,p001,p001/banana_g2/T01,123,banana,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__banana_g2__T01,subjects/p001/labels/p001__banana_g2__T01
p001__banana_g2__T02,ok,p001,p001/banana_g2/T02,169,banana,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__banana_g2__T02,subjects/p001/labels/p001__banana_g2__T02
p001__banana_g2__T03,ok,p001,p001/banana_g2/T03,125,banana,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__banana_g2__T03,subjects/p001/labels/p001__banana_g2__T03
p001__banana_g3__T01,ok,p001,p001/banana_g3/T01,196,banana,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__banana_g3__T01,subjects/p001/labels/p001__banana_g3__T01
p001__banana_g3__T02,ok,p001,p001/banana_g3/T02,153,banana,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__banana_g3__T02,subjects/p001/labels/p001__banana_g3__T02
p001__banana_g3__T03,ok,p001,p001/banana_g3/T03,112,banana,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__banana_g3__T03,subjects/p001/labels/p001__banana_g3__T03
p001__banana_g5__T01,ok,p001,p001/banana_g5/T01,171,banana,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__banana_g5__T01,subjects/p001/labels/p001__banana_g5__T01
p001__banana_g5__T02,ok,p001,p001/banana_g5/T02,163,banana,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__banana_g5__T02,subjects/p001/labels/p001__banana_g5__T02
p001__banana_g5__T03,ok,p001,p001/banana_g5/T03,155,banana,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__banana_g5__T03,subjects/p001/labels/p001__banana_g5__T03
p001__CosmeticPumpBottle_g2__T01,ok,p001,p001/CosmeticPumpBottle_g2/T01,129,CosmeticPumpBottle,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__CosmeticPumpBottle_g2__T01,subjects/p001/labels/p001__CosmeticPumpBottle_g2__T01
p001__CosmeticPumpBottle_g2__T02,ok,p001,p001/CosmeticPumpBottle_g2/T02,117,CosmeticPumpBottle,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__CosmeticPumpBottle_g2__T02,subjects/p001/labels/p001__CosmeticPumpBottle_g2__T02
p001__CosmeticPumpBottle_g2__T03,ok,p001,p001/CosmeticPumpBottle_g2/T03,112,CosmeticPumpBottle,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__CosmeticPumpBottle_g2__T03,subjects/p001/labels/p001__CosmeticPumpBottle_g2__T03
p001__CosmeticPumpBottle_g3__T01,ok,p001,p001/CosmeticPumpBottle_g3/T01,116,CosmeticPumpBottle,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__CosmeticPumpBottle_g3__T01,subjects/p001/labels/p001__CosmeticPumpBottle_g3__T01
p001__CosmeticPumpBottle_g3__T02,ok,p001,p001/CosmeticPumpBottle_g3/T02,114,CosmeticPumpBottle,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__CosmeticPumpBottle_g3__T02,subjects/p001/labels/p001__CosmeticPumpBottle_g3__T02
p001__CosmeticPumpBottle_g3__T03,ok,p001,p001/CosmeticPumpBottle_g3/T03,116,CosmeticPumpBottle,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__CosmeticPumpBottle_g3__T03,subjects/p001/labels/p001__CosmeticPumpBottle_g3__T03
p001__CosmeticPumpBottle_g5__T01,ok,p001,p001/CosmeticPumpBottle_g5/T01,122,CosmeticPumpBottle,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__CosmeticPumpBottle_g5__T01,subjects/p001/labels/p001__CosmeticPumpBottle_g5__T01
p001__CosmeticPumpBottle_g5__T02,ok,p001,p001/CosmeticPumpBottle_g5/T02,117,CosmeticPumpBottle,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__CosmeticPumpBottle_g5__T02,subjects/p001/labels/p001__CosmeticPumpBottle_g5__T02
p001__CosmeticPumpBottle_g5__T03,ok,p001,p001/CosmeticPumpBottle_g5/T03,118,CosmeticPumpBottle,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__CosmeticPumpBottle_g5__T03,subjects/p001/labels/p001__CosmeticPumpBottle_g5__T03
p001__cup_g2__T01,ok,p001,p001/cup_g2/T01,159,cup,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__cup_g2__T01,subjects/p001/labels/p001__cup_g2__T01
p001__cup_g2__T02,ok,p001,p001/cup_g2/T02,114,cup,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__cup_g2__T02,subjects/p001/labels/p001__cup_g2__T02
p001__cup_g2__T03,ok,p001,p001/cup_g2/T03,130,cup,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__cup_g2__T03,subjects/p001/labels/p001__cup_g2__T03
p001__cup_g3__T01,ok,p001,p001/cup_g3/T01,166,cup,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__cup_g3__T01,subjects/p001/labels/p001__cup_g3__T01
p001__cup_g3__T02,ok,p001,p001/cup_g3/T02,139,cup,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__cup_g3__T02,subjects/p001/labels/p001__cup_g3__T02
p001__cup_g3__T03,ok,p001,p001/cup_g3/T03,111,cup,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__cup_g3__T03,subjects/p001/labels/p001__cup_g3__T03
p001__cup_g5__T01,ok,p001,p001/cup_g5/T01,122,cup,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__cup_g5__T01,subjects/p001/labels/p001__cup_g5__T01
p001__cup_g5__T02,ok,p001,p001/cup_g5/T02,129,cup,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__cup_g5__T02,subjects/p001/labels/p001__cup_g5__T02
p001__cup_g5__T03,ok,p001,p001/cup_g5/T03,121,cup,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__cup_g5__T03,subjects/p001/labels/p001__cup_g5__T03
p001__cutter_g2__T01,ok,p001,p001/cutter_g2/T01,119,cutter,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__cutter_g2__T01,subjects/p001/labels/p001__cutter_g2__T01
p001__cutter_g2__T02,ok,p001,p001/cutter_g2/T02,129,cutter,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__cutter_g2__T02,subjects/p001/labels/p001__cutter_g2__T02
p001__cutter_g2__T03,ok,p001,p001/cutter_g2/T03,129,cutter,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__cutter_g2__T03,subjects/p001/labels/p001__cutter_g2__T03
p001__cutter_g3__T01,ok,p001,p001/cutter_g3/T01,121,cutter,/data_usb/WristHOI_NO_Standardization/data1/extri_old.yml,subjects/p001/sensor_data/p001__cutter_g3__T01,subjects/p001/labels/p001__cutter_g3__T01
